#/**
#  *
#  * Doc Manager scripts message catalog (English)
#  *
#  * CodeX: Breaking Down the Barriers to Enterprise Code Sharing 
#  * Copyright 2004-2005 (c) The CodeX Team, Xerox Corporation. All rights reserved
#  * http://codex.xrce.xerox.com
#  *
#  * @version   $Id$
#  *
#  */
#
#
#-----------------------------------------------
# Script: SF/www/docman/index.php
#
docman_index	title		Documentation for $1
docman_index	header		Project Documentation
docman_index	nodoc		No documentation published yet.
docman_index	description	Description
#
#-----------------------------------------------
# Script: SF/www/docman/display_doc.php
#
docman_display_doc	error_perm_denied	You are not authorized to access this document. Please contact a Project Administrator.
docman_display_doc	error_nodoc	Document #$1 Not Found: document does not exist or was deleted.
docman_display_doc	error_wrongid	No document to display - invalid document number.
docman_display_doc	warning_different_group	Note that this document belongs to project "$1".
#
#-----------------------------------------------
# Script: SF/www/docman/doc_utils.php
#
docman_doc_utils	error_nogroup	No document groups currently exist.
docman_doc_utils	error_nodocyet	No documents yet.
docman_doc_utils	group_id	Group ID
docman_doc_utils	group_name	Group Name
docman_doc_utils	delete_ask	Delete ?
docman_doc_utils	delete_confirm	Delete this document group?
docman_doc_utils	delete_doc_confirm	Permanently delete this document ?
docman_doc_utils	doc_id	Document ID
docman_doc_utils	doc_name	Title
docman_doc_utils	create_date	Creation Date
docman_doc_utils	error_proj	Only Projects Can Use The Doc Manager
docman_doc_utils	error_off	This Project Has Turned Off The Doc Manager
docman_doc_utils	submit_doc	Submit new documentation
docman_doc_utils	admin	Admin
docman_doc_utils	edit_groups	Edit Document Groups
docman_doc_utils	rank_in_group	Rank In Group
docman_doc_utils	rank	Rank On Screen
docman_doc_utils	permissions	Permissions
docman_doc_utils	define_perms	[Define Permissions]
docman_doc_utils	edit_perms	[Edit Permissions]
docman_doc_utils	doc_group	Document Group
#
#-----------------------------------------------
# Script: SF/www/docman/download.php
#
docman_download	error_nofile	Nothing in here - File has a null size
docman_download	error_nodoc	Couldn't find file associated with document ID #$1
#
#-----------------------------------------------
# Script: SF/www/docman/new.php
#
docman_new	error_noproj	No valid project (group_id) was selected
docman_new	error_size	Document must be non null and less than $1 chars in length	
docman_new	title_new	New Document Submitted
docman_new	error_dbinsert	An error occured	
docman_new	insert_ok	Your document has been added
docman_new	title_add	Add new document	
docman_new	header_add	Add new document	
docman_new	not_logged	You are not logged in, and will not be given credit for this.
docman_new	no_docgroup	You have to specify document groups before submitting a new document. Click on <a href="$1">Admin</a></b> and edit the projects document groups.
docman_new	doc_title	Document Title
docman_new	doc_desc	Description: <br> (HTML tags ok)
docman_new	doc_upload	Upload File
docman_new	max_size_msg	(The maximum upload file size is $1 MByte)
docman_new	doc_paste	OR Paste Document (in HTML format)
docman_new	doc_group	Group that document belongs in
docman_new	mandatory	Fields marked with $1 are mandatory.
docman_new	error_dbupdate	 ERROR - SQL Error= $1
#
#-----------------------------------------------
# Script: SF/www/docman/admin/index.php
#
docman_admin_index	error_perm	You need Document Manager permissions to access this page.	
docman_admin_index	title	Document Manager Administration
docman_admin_index	title_edit	Edit Document
docman_admin_index	doc_edit	or Edit Document in place
docman_admin_index	title_group_del	Document Group Deletion
docman_admin_index	msg_group_del	Document Group Deleted (doc_group : $1)
docman_admin_index	title_group_del_fail	Document Group Deletion Failure
docman_admin_index	msg_group_del_fail	Document group was not deleted. Cannot delete groups that still have documents grouped under them.
docman_admin_index	title_group_edit	Document Group Editing
docman_admin_index	header_group_edit	Edit a Document Group
docman_admin_index	feedback_group_updated	Document Group Updated
docman_admin_index	error_nodocgroup	No Valid Document Group Was Selected
docman_admin_index	feedback_doc_uploaded	Document Uploaded 
docman_admin_index	feedback_doc_updated	Document Updated 
docman_admin_index	error_dbupdate	Error while updating the document:<br>$1
docman_admin_index	error_nodoc	Unable to update - Document does not exist, or it doesn't belong to this document group.
docman_admin_index	feedback_group_added	Document group added 
docman_admin_index	title_group_mgt	Document Groups Administration
docman_admin_index	header_group_mgt	Document Groups Administration
docman_admin_index	create_doc_group	Create a Document Group
docman_admin_index	doc_group_list	Existing Document Groups
docman_admin_index	header_doc_mgt	Edit Documents
docman_admin_index	doc_deleted	Document Deleted
docman_admin_index	error_deleting_doc	Error Deleting Document
docman_admin_index	error_updating_perm	Error: could not update permissions
docman_admin_index	perm_reset	Permissions reset to default
docman_admin_index	error_resetting perm	Error: cannot reset permissions to default
#
#-----------------------------------------------
# Script: SF/www/docs/site/index.php
#
docs_site_index	title	Site Documentation
#
#-----------------------------------------------
# Script: SF/www/docs/site/about_codex.php
#
docs_site_about	title	About the $1 Site
#
#-----------------------------------------------
# Script: SF/www/docman/admin/editdocgrouppermissions.php
#
docman_admin_editdocgrouppermissions	title	Edit Document Group Permissions
docman_admin_editdocgrouppermissions	introduction	You can set specific permissions to a document group. These permissions apply to all documents that belong to this document group. But you may also set different permissions to specific document. <p> By default, document groups have no specific permissions: access to all files is granted to any anonymous user.
docman_admin_editdocgrouppermissions	instructions	Select user groups who are granted access to this document group:
#
#-----------------------------------------------
# Script: SF/www/docman/admin/editdocpermissions.php
#
docman_admin_editdocpermissions	title	Edit Document Permissions
docman_admin_editdocpermissions	doc_title	Edit Document Permissions
docman_admin_editdocpermissions	instructions_intro	&nbsp;
docman_admin_editdocpermissions	instructions	Select user groups who are granted access to this document:<br><b>Note</b>: When no permission is defined for a document, then it has the same permissions as the <a href="$1">parent document group</a>. <br>When a permission is defined for a document, then it overrides the permissions defined for the document group.
